Date: 19/07/01 ,Author: E.Hubble ,Observation: 21100 ,Instrument Response: Good 
Wavelength (nm) ,Intensity(A.U.) 
660.0,53.791438488046325
660.1,48.320373148649026
660.2,47.54771926908908
660.3,43.171929179259
660.4,42.84603541890726
660.5,51.171875136256716
660.6,38.74855436610499
660.7,46.94454262584374
660.8,48.13333390798718
660.9,42.97448758559102
661.0,43.1936180279607
661.1,40.505389887539046
661.2,45.411955895886074
661.3,50.3055295218381
661.4,55.383845065059035
661.5,48.66105903963984
661.6,47.149079941064684
661.7,47.395136416380986
661.8,54.40165716711329
661.9,47.24947306633545
662.0,34.16610843706782
662.1,46.59532289121583
662.2,47.48924576450434
662.3,46.77855503639267
662.4,42.39860910067523
662.5,46.548676265092915
662.6,42.85422529522217
662.7,53.513408117901555
662.8,46.9156848134952
662.9,39.72897761306208
663.0,35.061728464392914
663.1,39.82165886772423
663.2,34.35045270281151
663.3,44.82663898872167
663.4,45.59497553166962
663.5,43.33474073276071
663.6,45.82818534679316
663.7,47.926584127918936
663.8,53.583192377549956
663.9,39.77554065064816
664.0,35.54570265594313
664.1,36.71260845723518
664.2,47.58909673115327
664.3,38.74943216942487
664.4,51.367849663468064
664.5,49.69099742414461
664.6,45.96433231512632
664.7,51.68031471295312
664.8,48.483688689228295
664.9,32.87160451638751
665.0,33.56294372039704
665.1,45.22566933115541
665.2,57.34524086748101
665.3,43.456975756157036
665.4,43.38132867196002
665.5,41.32026226401536
665.6,53.42327400354593
665.7,45.60206399495033
665.8,43.66855547493267
665.9,30.487287838885415
666.0,41.86511973895487
666.1,40.529863127701084
666.2,37.11705637835444
666.3,44.95751001092344
666.4,48.47450489306391
666.5,45.49802684690235
666.6,42.27719679757699
666.7,39.51575161092451
666.8,43.203205515048914
666.9,31.242338419239097
667.0,42.04852033289159
667.1,45.04661508746349
667.2,46.01500244084568
667.3,38.20153027101316
667.4,45.23004215437785
667.5,41.5084830726909
667.6,31.25818864412163
667.7,38.92874783883855
667.8,42.30338459423878
667.9,47.22666487447813
668.0,50.0790325996188
668.1,42.4751661401719
668.2,34.87789066560799
668.3,40.10465633806939
668.4,45.82232029087504
668.5,41.223542603227465
668.6,38.795908026529226
668.7,34.388203603259896
668.8,40.210270711788404
668.9,37.502027714400626
669.0,40.07836551694881
669.1,32.387252350351986
669.2,40.15262777121201
669.3,42.73642904653281
669.4,35.511311170724134
669.5,34.141531441558044
669.6,38.19725292799912
669.7,37.453914819716694
669.8,40.36103397695774
669.9,31.146913858698124
670.0,31.07711359740263
670.1,24.178489221725286
670.2,21.816872810401318
670.3,41.998229442110514
670.4,31.27247204316717
670.5,43.75222800304866
