Date: 19/07/01 ,Author: E.Hubble ,Observation: 47548 ,Instrument Response: Bad 
Wavelength (nm) ,Intensity(A.U.) 
660.0,47.76335402284821
660.1,38.03160512051831
660.2,49.11265832225676
660.3,49.39193082746667
660.4,44.18949070463254
660.5,56.15262103430899
660.6,48.22995903743434
660.7,43.84450715603208
660.8,49.70323955229473
660.9,39.75052821524046
661.0,53.90796751670969
661.1,49.935914858676846
661.2,47.65587057816003
661.3,46.7418032835054
661.4,52.93183469876527
661.5,58.74830620050693
661.6,48.30379326248685
661.7,53.01339715482537
661.8,36.232840318811554
661.9,51.740783851563805
662.0,47.673761163678876
662.1,48.57105676671283
662.2,54.694291995729166
662.3,52.93743126001841
662.4,45.910795981444295
662.5,56.24481168161754
662.6,48.625584185734844
662.7,53.224296282079315
662.8,52.65676185776607
662.9,49.68729465329234
663.0,34.57924858065005
663.1,59.94735633743912
663.2,46.282491500092036
663.3,50.88690101317405
663.4,47.998348835164435
663.5,41.49855687465534
663.6,57.178721352848655
663.7,43.07676753863619
663.8,45.409715874051365
663.9,60.623200079786784
664.0,56.88345460850921
664.1,54.24002485392098
664.2,66.16347714073174
664.3,62.67902557803866
664.4,46.08218520622667
664.5,55.59308199383622
664.6,44.017219728306046
664.7,40.997316999315494
664.8,51.45199957758517
664.9,53.54649183438086
665.0,45.169322927534445
665.1,40.57493252641892
665.2,51.0674926821862
665.3,52.428829292616925
665.4,44.595425783332956
665.5,56.65726512897895
665.6,52.97725240198905
665.7,45.43698420355855
665.8,57.858286317819434
665.9,61.42156025824078
666.0,49.852173514635155
666.1,56.54291021679111
666.2,45.72899962712776
666.3,55.4309804509726
666.4,49.08827432143494
666.5,55.34415322598446
666.6,46.93439508376446
666.7,58.921440552717364
666.8,51.00211458189007
666.9,50.68848502354616
667.0,51.27205209928563
667.1,58.50004586933441
667.2,51.145325050686324
667.3,48.33609646889487
667.4,45.91693777055822
667.5,48.89188267972188
667.6,49.581412307234345
667.7,65.03775002663146
667.8,43.86209236122204
667.9,62.862095356447846
668.0,65.33258800203181
668.1,50.450970225277416
668.2,51.62150391432201
668.3,64.5781366097431
668.4,60.83767216339984
668.5,45.640999427891934
668.6,48.43603150165017
668.7,54.29059942029611
668.8,58.87415882267318
668.9,61.14366823907326
669.0,61.12709145427841
669.1,52.3018689817022
669.2,57.38350936059488
669.3,66.48787930466969
669.4,49.91094778635732
669.5,65.41409300675515
669.6,61.825125156036115
669.7,57.79488092882408
669.8,51.35744698695642
669.9,50.62611329998678
670.0,50.51327314132986
670.1,56.13800911432008
670.2,67.02196802441685
670.3,55.775677582626706
670.4,63.99670778964247
670.5,45.97185224919418
670.6,54.66721216119521
670.7,53.388884232642454
